comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting,sensitivity_family
inflammatory,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,0.0009804336461388,0.004325239082675,0.0016726954017622,0.0037435536744555,-2.0074717574637315,-1.9962859717979609,0.9242202136649676,0.9240593474490886,0.0111857856657706,-0.0001608662158789,class_weighted_refit,Class imbalance
inflammatory,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.000818316429565,0.0019915288447267,-0.0007117673350362,-0.003099821244242,-2.0684549023422565,-2.086764012915217,0.9574373050347402,0.9464275493137764,-0.0183091105729604,-0.0110097557209639,class_weighted_refit,Class imbalance
inflammatory,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.0008720448040197,0.0094842830512572,-0.0001391161149054,-0.0011826288671945,-2.1496615857464563,-2.161947074005975,1.0285281661831602,1.020909577120896,-0.0122854882595189,0.0076185890622642,class_weighted_refit,Class imbalance
inflammatory,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.0005794423457405,-0.0060948202015918,0.0002907191187941,-0.000523033604501,-2.0644431551293536,-2.0651637802603657,0.9741983337244106,0.9598265470807344,-0.0007206251310121,-0.0143717866436761,class_weighted_refit,Class imbalance
metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0036659770646455,0.0028277284889995,5.234774074683313e-05,0.0008856850804724,-1.9277981750888515,-1.9341574048012724,0.8803367303913088,0.8937731109644601,-0.0063592297124208,0.0134363805731513,class_weighted_refit,Class imbalance
metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0008267233971366,-0.003959043768223,-6.576970577926167e-05,-0.0002236283706019,-2.050403947563965,-2.053962814311165,0.9949648417700008,0.9912535754439074,-0.0035588667472006,-0.0037112663260933,class_weighted_refit,Class imbalance
metabolic,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.001933165581973,0.0018766847928661,0.0013065307846754,0.0036965079602268,-2.129216677622895,-2.120895422483252,0.9222032692650262,0.9324149727204052,0.0083212551396432,0.010211703455379,class_weighted_refit,Class imbalance
metabolic,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0008002106305529,-0.0003716395879717,-0.0003774296859402,-0.0006990327486012,-1.903388920250113,-1.9090040945728,0.8787775645118191,0.8761861318882955,-0.0056151743226871,-0.0025914326235235,class_weighted_refit,Class imbalance
metabolic,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.000373557542536,-0.0006059854678794,0.000937540641569,0.0023452473370864,-2.1536068388168683,-2.1448893693195945,1.1133657713437008,1.1023577284665391,0.0087174694972738,0.0110080428771617,class_weighted_refit,Class imbalance
metabolic,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0011247151510658,0.0039025825897695,3.038017710399465e-06,0.0004989012667579,-2.158475175116112,-2.1654151776389585,1.053181630162471,1.058205332412164,-0.0069400025228465,-0.005023702249693,class_weighted_refit,Class imbalance
