target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.0831941205470357,training_weighted_youden,0.8306884029210242,0.3372527450888974,0.8189605110336818,0.3821611332407476,0.0771098265513821,0.2580833270640242,0.0935003687097994,0.3039309230874234,-0.198760253081113,0.8858956257277604,0.986744977379129,0.0998769339312416,0.101218588612959,-0.0148352900615384,0.8606271777003485,0.6445783132530121,0.2586387434554973,0.9697885196374624,0.3977455716586152
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2017-2018,5209,646,combined_mec_weight,0.5,fixed_0.50,0.8537386706597312,0.3824639221632447,0.8322070307066733,0.4007434215473615,0.0713978510528836,0.2393833701802503,0.0896893535294365,0.2926495586447729,0.0016971981283589,0.9840004741257572,1.020198069383278,0.0963747859305344,0.0944667401584029,0.0221061134550195,0.1950464396284829,0.9743589743589745,0.5185185185185185,0.8952879581151832,0.2834645669291338
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2017-2018,5209,646,combined_mec_weight,0.0765851190946296,training_weighted_youden,0.8537386706597312,0.3824639221632447,0.8322070307066733,0.4007434215473615,0.0713978510528836,0.2393833701802503,0.0896893535294365,0.2926495586447729,0.0016971981283589,0.9840004741257572,1.020198069383278,0.0963747859305344,0.0944667401584029,0.0221061134550195,0.868421052631579,0.6419022572868727,0.2555808656036446,0.9717982747179827,0.3949313621964097
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8310194618554975,0.3347875263677701,0.8204770300715056,0.3812792023410921,0.077443947897373,0.2587871705923594,0.0933411025216357,0.3032437454776586,-0.2087058988331586,0.8745640414795378,0.993248090468281,0.0998769339312416,0.1005558781232121,-0.0075293707049977,0.1916376306620209,0.9708835341365462,0.4867256637168141,0.8928901200369345,0.275
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.0887777013798722,training_weighted_youden,0.8310194618554975,0.3347875263677701,0.8204770300715056,0.3812792023410921,0.077443947897373,0.2587871705923594,0.0933411025216357,0.3032437454776586,-0.2087058988331586,0.8745640414795378,0.993248090468281,0.0998769339312416,0.1005558781232121,-0.0075293707049977,0.8641114982578397,0.660140562248996,0.2681081081081081,0.9711964549483012,0.4092409240924092
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2017-2018,5209,646,combined_mec_weight,0.5,fixed_0.50,0.8523532933404809,0.3658623253946388,0.8264286232850178,0.3803411490503874,0.07184537014272,0.2404214303906072,0.0908869992927393,0.2961213121427323,-0.018198306630379,0.9860410184983608,1.0029675880160491,0.0963747859305344,0.0960896314916532,0.0032787107939658,0.1671826625386996,0.9765505150120536,0.5023255813953489,0.8922707248698438,0.2508710801393728
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2017-2018,5209,646,combined_mec_weight,0.0962067666915939,training_weighted_youden,0.8523532933404809,0.3658623253946388,0.8264286232850178,0.3803411490503874,0.07184537014272,0.2404214303906072,0.0908869992927393,0.2961213121427323,-0.018198306630379,0.9860410184983608,1.0029675880160491,0.0963747859305344,0.0960896314916532,0.0032787107939658,0.8312693498452013,0.6804733727810651,0.269172932330827,0.9660858742999378,0.4066641423703142
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8344310034161879,0.3638205026079044,0.8318395533352924,0.416849545656304,0.0765241871388601,0.2568724771794248,0.0908090507066989,0.2963994850085515,-0.2131894158640106,0.8598981287074593,1.0104586823809834,0.0998769339312416,0.0988431646664638,0.0115521852139877,0.2264808362369338,0.9683734939759036,0.5078125,0.8967921896792189,0.3132530120481928
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.1064471247591267,training_weighted_youden,0.8344310034161879,0.3638205026079044,0.8318395533352924,0.416849545656304,0.0765241871388601,0.2568724771794248,0.0908090507066989,0.2963994850085515,-0.2131894158640106,0.8598981287074593,1.0104586823809834,0.0998769339312416,0.0988431646664638,0.0115521852139877,0.7804878048780488,0.7208835341365462,0.2871794871794871,0.9579719813208806,0.4198687910028115
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8516758730206834,0.41294186406096806,0.8462650267528316,0.44271162160199756,0.06549828583828234,0.2266172172534252,0.08402129262685776,0.2772197393411175,0.34685117913925934,1.0914968830926814,1.1441431173980503,0.08958365355321198,0.07829759423535963,0.14697637044149436,0.1125703564727955,0.9910600255427842,0.631578947368421,0.8913393062255915,0.1910828025477707
