comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.014875444496366241,0.050196661096781114,0.002741281297062012,0.009484607538806394,-0.037452011008404576,0.018645821294704656,0.9169226161188438,0.9781258590066746,0.01880618971369992,0.061203242887830744,main_observed_class_distribution
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.009568355490448877,0.019362106180362493,0.0010884657359840344,0.004433612914517188,0.08536096448356978,0.05039615478531413,1.034723669788501,1.022172586746196,0.03496480969825565,0.012551083042305011,main_observed_class_distribution
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.00522934675669362,0.00341210369969841,0.0005613712161819037,0.0023157263317056254,-0.1676307334190429,-0.16104162617805945,0.9693975315895426,0.9569613279676339,0.006589107240983438,-0.01243620362190867,main_observed_class_distribution
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0066550482356013685,0.022015452755014875,0.001501073556298041,0.004144725368609353,-0.043680254866580503,-0.02002389462951651,0.9109750364633609,0.9122004420246543,0.023656360237063995,0.001225405561293469,main_observed_class_distribution
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037145581308206665,0.018490393343842615,0.0016141680773976846,0.003357070970392645,0.17287788289193887,0.08754228889611428,1.1480926140439265,1.1188491241776124,0.08533559399582459,0.029243489866314087,main_observed_class_distribution
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.008949320326612331,0.034871660282669525,0.0016879092869769435,0.0055396201717337334,0.06893065306342791,0.10440412764792445,1.077394208457339,1.0871372055198714,-0.03547347458449654,-0.009742997062532455,main_observed_class_distribution
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.003742600495163728,0.02656775751900703,0.0005856394125219599,0.001210849884599352,-0.19876025308111397,-0.2131894158640107,0.8858956257277599,0.8598981287074585,-0.014429162782896715,-0.025997497020301408,main_observed_class_distribution
combined,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.01102917527919034,0.05828623900587232,0.00283217016278714,0.008647462568579012,0.19213544600319715,0.21813272428590416,1.0130147382868349,1.0448695087750277,-0.02599727828270701,-0.03185477048819285,main_observed_class_distribution
combined,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.007429447197936145,0.024837522093207443,0.0014005074218821079,0.004815213869628104,0.1957597819688073,0.25275110669628553,1.088887218492653,1.1068823233672447,-0.056991324727478226,-0.01799510487459166,main_observed_class_distribution
combined,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.003701813043821889,-0.01876885289408259,-0.00033645566783967185,0.0006245867054657794,-0.0740257769947322,-0.16911945951006604,1.0050442328410523,0.9360654246734932,-0.09509368251533384,-0.05889034248545455,main_observed_class_distribution
combined,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.005864058237521674,0.017148569429900618,0.0010340450565971132,0.003565416296802848,0.025677557352852765,0.06194275324116502,0.929672086133239,0.9442606412169443,-0.03626519588831226,0.014588555083705268,main_observed_class_distribution
