comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037145581308206665,0.018490393343842615,0.0016141680773976846,0.003357070970392645,0.17287788289193887,0.08754228889611428,1.1480926140439265,1.1188491241776124,0.08533559399582459,0.029243489866314087
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.008949320326612331,0.034871660282669525,0.0016879092869769435,0.0055396201717337334,0.06893065306342791,0.10440412764792445,1.077394208457339,1.0871372055198714,-0.03547347458449654,-0.009742997062532455
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.003742600495163728,0.02656775751900703,0.0005856394125219599,0.001210849884599352,-0.19876025308111397,-0.2131894158640107,0.8858956257277599,0.8598981287074585,-0.014429162782896715,-0.025997497020301408
combined,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.01102917527919034,0.05828623900587232,0.00283217016278714,0.008647462568579012,0.19213544600319715,0.21813272428590416,1.0130147382868349,1.0448695087750277,-0.02599727828270701,-0.03185477048819285
combined,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.007429447197936145,0.024837522093207443,0.0014005074218821079,0.004815213869628104,0.1957597819688073,0.25275110669628553,1.088887218492653,1.1068823233672447,-0.056991324727478226,-0.01799510487459166
combined,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.003701813043821889,-0.01876885289408259,-0.00033645566783967185,0.0006245867054657794,-0.0740257769947322,-0.16911945951006604,1.0050442328410523,0.9360654246734932,-0.09509368251533384,-0.05889034248545455
combined,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.005864058237521674,0.017148569429900618,0.0010340450565971132,0.003565416296802848,0.025677557352852765,0.06194275324116502,0.929672086133239,0.9442606412169443,-0.03626519588831226,0.014588555083705268
combined,xgboost,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,-0.0011211778806167194,0.029667175789824307,0.0013613672562244328,0.0019197711984326737,0.08018304716911648,0.003995451488280375,1.1170008469740706,1.0889461193840153,0.0761875956808361,0.02805472759005534
combined,xgboost,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.007273874565745686,0.033600006179699105,0.0015949181336032958,0.005147090496836176,0.02938471339785753,0.12586058236525413,1.1004014630029793,1.1434170462061775,-0.0964758689673966,-0.043015583203198204
combined,xgboost,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,-0.008106753680702572,-0.001820437737300118,-0.0014417637155636348,-0.0057377784547072985,-0.2660737058986597,-0.3742472545287988,0.8588814226538474,0.7831014805790433,-0.10817354863013912,-0.0757799420748041
