model,term,source_predictor,coefficient,coefficient_scale,odds_ratio_per_model_unit
model0_paired_metabolic,smoking_Current,smoking,0.8492710153422457,one-hot indicator versus omitted reference category,2.337941906781303
model0_paired_metabolic,smoking_Former,smoking,0.2257465787321285,one-hot indicator versus omitted reference category,1.2532580227940997
model0_paired_metabolic,smoking_Missing,smoking,-2.321797342781983,one-hot indicator versus omitted reference category,0.09809711292307297
model0_paired_metabolic,smoking_Never,smoking,-0.08015980419209981,one-hot indicator versus omitted reference category,0.9229688403110459
model0_paired_metabolic,diabetes_0.0,diabetes,-0.977243841487493,one-hot indicator versus omitted reference category,0.376346942550327
model0_paired_metabolic,diabetes_1.0,diabetes,-0.34969571141221495,one-hot indicator versus omitted reference category,0.7049025508897515
model0_paired_combined,intercept,intercept,-1.336976356349782,model log-odds intercept after preprocessing,0.2626385947324231
model0_paired_combined,age,age,1.3434894808576012,one training-sample standard deviation after median imputation,3.83239326288824
model0_paired_combined,bmi,bmi,0.1809932437976344,one training-sample standard deviation after median imputation,1.1984070825850819
model0_paired_combined,mean_sbp,mean_sbp,0.007369011593961396,one training-sample standard deviation after median imputation,1.0073962295753618
model0_paired_combined,total_cholesterol,total_cholesterol,-0.36128144746976926,one training-sample standard deviation after median imputation,0.6967828630934689
model0_paired_combined,hdl_cholesterol,hdl_cholesterol,-0.09953630637720819,one training-sample standard deviation after median imputation,0.9052570826667533
model0_paired_combined,sex_Female,sex,-0.750418841730982,one-hot indicator versus omitted reference category,0.47216874734387587
model0_paired_combined,sex_Male,sex,-0.5765207111687296,one-hot indicator versus omitted reference category,0.5618498075436509
model0_paired_combined,race_ethnicity_Mexican American,race_ethnicity,-0.557759148172476,one-hot indicator versus omitted reference category,0.5724904939346975
model0_paired_combined,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.731860876359077,one-hot indicator versus omitted reference category,0.48101305091787205
model0_paired_combined,race_ethnicity_Non-Hispanic Black,race_ethnicity,0.00026768366288605714,one-hot indicator versus omitted reference category,1.0002677194933547
model0_paired_combined,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.1067084789394807,one-hot indicator versus omitted reference category,0.8987876503315003
model0_paired_combined,race_ethnicity_Other Hispanic,race_ethnicity,-0.23060934218080123,one-hot indicator versus omitted reference category,0.7940496071396355
model0_paired_combined,race_ethnicity_Other/Multi,race_ethnicity,0.2997306090892556,one-hot indicator versus omitted reference category,1.34949521685867
model0_paired_combined,education_9-11th grade,education,0.2952665638961887,one-hot indicator versus omitted reference category,1.3434844354045643
model0_paired_combined,education_<9th grade,education,0.17275131366940133,one-hot indicator versus omitted reference category,1.1885704870943858
model0_paired_combined,education_College graduate+,education,-0.3051921216464295,one-hot indicator versus omitted reference category,0.7369817706383266
model0_paired_combined,education_High school/GED,education,0.0009225478621203154,one-hot indicator versus omitted reference category,1.000922973540292
model0_paired_combined,education_Missing,education,-1.479486469244032,one-hot indicator versus omitted reference category,0.2277546173587581
model0_paired_combined,education_Some college/AA,education,-0.011201387436964153,one-hot indicator versus omitted reference category,0.988861114516086
model0_paired_combined,smoking_Current,smoking,0.8492710153422457,one-hot indicator versus omitted reference category,2.337941906781303
model0_paired_combined,smoking_Former,smoking,0.2257465787321285,one-hot indicator versus omitted reference category,1.2532580227940997
model0_paired_combined,smoking_Missing,smoking,-2.321797342781983,one-hot indicator versus omitted reference category,0.09809711292307297
model0_paired_combined,smoking_Never,smoking,-0.08015980419209981,one-hot indicator versus omitted reference category,0.9229688403110459
model0_paired_combined,diabetes_0.0,diabetes,-0.977243841487493,one-hot indicator versus omitted reference category,0.376346942550327
model0_paired_combined,diabetes_1.0,diabetes,-0.34969571141221495,one-hot indicator versus omitted reference category,0.7049025508897515
