target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,uacr_method
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2017-2018,5073,613,combined_mec_weight,0.5,fixed_0.50,0.8493475990528137,0.3644303992754445,0.8237609638695235,0.3785663683163858,0.0705218931669822,0.2377479384901906,0.089071609485122,0.2924182162135768,0.0104056095332158,0.993822873788151,1.015216629872819,0.0941357559926068,0.0927247970754771,0.0166583895807614,0.1517128874388254,0.9807174887892376,0.5195530726256983,0.8937474458520638,0.2348484848484848,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2005-2006,4305,495,combined_mec_weight,0.5,fixed_0.50,0.8497309833961051,0.4004596514976404,0.8423470929770144,0.4262100516097137,0.0643737098490729,0.2235320843875536,0.0821814239025116,0.2728365907924624,0.3467989901650132,1.0880055365645127,1.1480671207192097,0.0867706261782064,0.0755797501838122,0.1502594678235409,0.103030303030303,0.9921259842519684,0.6296296296296297,0.8948863636363636,0.1770833333333333,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2007-2008,5467,626,combined_mec_weight,0.5,fixed_0.50,0.8588319296537457,0.3882724877093355,0.8324600902963438,0.3898314388290863,0.0616070179314106,0.213289850777591,0.0836897641420364,0.277071358392353,0.1995657169530936,1.0911738945851996,1.0300378327711055,0.0832118400500983,0.0807852269136891,0.0322388991587279,0.0990415335463258,0.989464986573022,0.5486725663716814,0.8946581994770265,0.1677943166441136,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2009-2010,5860,617,combined_mec_weight,0.5,fixed_0.50,0.8491575834297893,0.3490526376287068,0.8424465622296117,0.3850175317370183,0.061122330466716,0.2131856412489557,0.0768231675028801,0.2576668457385695,-0.037394262475409,1.0116829576924091,0.9575640292211592,0.0801519788171177,0.0837040410575049,-0.0472317391734296,0.1280388978930308,0.9874117871447644,0.5448275862068965,0.90586176727909,0.2073490813648294,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2011-2012,5143,515,combined_mec_weight,0.5,fixed_0.50,0.8378014459507984,0.342792898000525,0.8300429634726569,0.3479840640676301,0.063913419195306,0.2240565986627215,0.076108194887638,0.2576651709850641,-0.0851262543633676,0.925547771036433,1.0360527346413375,0.0836135229914651,0.0807039257711245,0.0385880913508347,0.1106796116504854,0.9872515125324114,0.4913793103448275,0.9088919832902328,0.1806656101426307,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2013-2014,5403,543,combined_mec_weight,0.5,fixed_0.50,0.8438081593480409,0.3730714981498312,0.8358130792957885,0.3815578076332618,0.0643713098718365,0.2236231216697209,0.074609950184822,0.253099192734259,-0.1848928850853222,0.9322091879364652,0.9456936392501712,0.0852595184918081,0.0901555376426232,-0.0612033448162034,0.154696132596685,0.987037037037037,0.5714285714285714,0.9126712328767124,0.2434782608695652,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2015-2016,5279,570,combined_mec_weight,0.5,fixed_0.50,0.8682067525362487,0.3738996422570731,0.8468721708710085,0.3946848743621265,0.062733055282705,0.2137957069111207,0.0780516937375068,0.2594420466662209,0.0605464807021924,1.0864207706052027,0.943872415544058,0.0850460848616238,0.090103369333664,-0.0633069726497139,0.143859649122807,0.984922488851136,0.5359477124183006,0.9047990635973469,0.2268326417704011,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2017-2018,5073,613,combined_mec_weight,0.5,fixed_0.50,0.8490702517603254,0.3627117048068219,0.8219516967936853,0.3671967124911225,0.0702343026811018,0.2376146517819967,0.089359775185585,0.2933348203888979,0.0028785362915465,1.002444245122196,0.999208286030648,0.0941357559926068,0.0942103436377223,-0.0008743695872097,0.130505709624796,0.980269058295964,0.4761904761904761,0.891335372069317,0.204865556978233,complete_case_refit
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2005-2006,4305,495,combined_mec_weight,0.5,fixed_0.50,0.8507224092124817,0.3924494463555427,0.8451008775418224,0.4184036957114238,0.0632409792761612,0.221047030493371,0.0809233504613334,0.2703335237440707,0.0934370659369762,1.010293852973236,1.056522961970324,0.0867706261782064,0.0821284811608701,0.0600536350182503,0.1919191919191919,0.9803149606299212,0.5588235294117647,0.9032648125755744,0.2857142857142857,complete_case_refit
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2007-2008,5467,626,combined_mec_weight,0.5,fixed_0.50,0.851769767408211,0.3910890227298528,0.830015581762013,0.3984150567858096,0.0614048139654477,0.2147769112163449,0.0833796001650703,0.2782221718772815,0.0389847254263278,1.0119156971528571,1.0133232083789203,0.0832118400500983,0.0821177679165345,0.0144278985316712,0.1549520766773162,0.9826482131790952,0.5359116022099447,0.8999243284146803,0.2403965303593556,complete_case_refit
