comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_AUROC,0.003774373799347863,0.003794156373415853,1.9782574067989632e-05,0.0017659904861362678,0.0004376546264772034,0.007302113295854118,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_PR_AUC,0.017861648631603777,0.018188658061246855,0.0003270094296430777,0.00721595645954498,0.004569439104967079,0.03233964188176539,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_Brier_improvement,0.0008843987597454,0.0008901217267463252,5.722967000925186e-06,0.0003643760592917057,0.0001879556540822012,0.0016023060647990534,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_log_loss_improvement,0.0025736545005514977,0.002586757530928276,1.3103030376778336e-05,0.0010471386607640105,0.0005821362098805912,0.004666466987064049,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,core_calibration_intercept,-0.0019100180663152147,-0.001333102704435725,0.0005769153618794896,0.05674839005012273,-0.11579842432228428,0.10800842803018913,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,extended_calibration_intercept,-0.021119128747155855,-0.020008509116604543,0.0011106196305513127,0.05325277857633225,-0.1224534732323859,0.0820326076955509,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,core_calibration_slope,1.0002524462908906,1.0011540417569316,0.0009015954660409609,0.028005404827084156,0.9481036054833714,1.0573448236566438,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,extended_calibration_slope,0.9844629232037445,0.9855115385195882,0.0010486153158436595,0.02533380966491795,0.9374876755438503,1.0365380587949724,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,absolute_intercept_deviation_change,-0.019209110680840642,-0.0005337331810995887,0.018675377499741054,0.024914925877425827,-0.04684087285071693,0.05216317231539422,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,absolute_slope_deviation_change,-0.015284630505364882,-0.0011294731223408254,0.014155157383024057,0.016502758807691417,-0.028030024009731223,0.03338293561132189,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
